idx,token_name,token_address,aToken_name,aToken_address,dToken_Name,dToken_address,ltv,liquidationThreshold,usageAsCollateralEnabled,borrowingEnabled,isActive,isFrozen,List rewards
0,DAI,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,aPolDAI,0x82E64f49Ed5EC1bC6e43DAD4FC8Af9bb3A2312EE,variableDebtPolDAI,0x8619d80FB0141ba7F184CbF22fd724116D9f7ffC,7500,8000,true,true,true,false,
1,LINK,0x53E0bca35eC356BD5ddDFebbD1Fc0fD03FaBad39,aPolLINK,0x191c10Aa4AF7C30e871E70C95dB0E4eb77237530,variableDebtPolLINK,0x953A573793604aF8d41F306FEb8274190dB4aE0e,5000,6500,true,true,true,false,
2,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,aPolUSDC,0x625E7708f30cA75bfd92586e17077590C60eb4cD,variableDebtPolUSDC,0xFCCf3cAbbe80101232d343252614b6A3eE81C989,8250,8500,true,true,true,false,
3,WBTC,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,aPolWBTC,0x078f358208685046a11C85e8ad32895DED33A249,variableDebtPolWBTC,0x92b42c66840C7AD907b4BF74879FF3eF7c529473,7000,7500,true,true,true,false,
4,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,aPolWETH,0xe50fA9b3c56FfB159cB0FCA61F5c9D750e8128c8,variableDebtPolWETH,0x0c84331e39d6658Cd6e6b9ba04736cC4c4734351,8000,8250,true,true,true,false,
5,USDT,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,aPolUSDT,0x6ab707Aca953eDAeFBc4fD23bA73294241490620,variableDebtPolUSDT,0xfb00AC187a8Eb5AFAE4eACE434F493Eb62672df7,7500,8000,true,true,true,false,
6,AAVE,0xD6DF932A45C0f255f85145f286eA0b292B21C90B,aPolAAVE,0xf329e36C7bF6E5E86ce2150875a84Ce77f477375,variableDebtPolAAVE,0xE80761Ea617F66F96274eA5e8c37f03960ecC679,6000,7000,true,false,true,false,
7,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,aPolWMATIC,0x6d80113e533a2C0fe82EaBD35f1875DcEA89Ea97,variableDebtPolWMATIC,0x4a1c3aD6Ed28a636ee1751C69071f6be75DEb8B8,6500,7000,true,true,true,false,
8,CRV,0x172370d5Cd63279eFa6d502DAB29171933a610AF,aPolCRV,0x513c7E3a9c69cA3e22550eF58AC1C0088e918FFf,variableDebtPolCRV,0x77CA01483f379E58174739308945f044e1a764dc,7500,8000,true,true,true,false,
9,SUSHI,0x0b3F868E0BE5597D5DB7fEB59E1CADBb0fdDa50a,aPolSUSHI,0xc45A479877e1e9Dfe9FcD4056c699575a1045dAA,variableDebtPolSUSHI,0x34e2eD44EF7466D5f9E0b782B5c08b57475e7907,2000,4500,true,true,true,false,
10,GHST,0x385Eeac5cB85A38A9a07A70c73e0a3271CfB54A7,aPolGHST,0x8Eb270e296023E9D92081fdF967dDd7878724424,variableDebtPolGHST,0xCE186F6Cccb0c955445bb9d10C59caE488Fea559,2500,4500,true,true,true,false,
11,BAL,0x9a71012B13CA4d3D0Cdc72A177DF3ef03b0E76A3,aPolBAL,0x8ffDf2DE812095b1D19CB146E4c004587C0A0692,variableDebtPolBAL,0xA8669021776Bc142DfcA87c21b4A52595bCbB40a,2000,4500,true,true,true,false,
12,DPI,0x85955046DF4668e1DD369D2DE9f3AEB98DD2A369,aPolDPI,0x724dc807b04555b71ed48a6896b6F41593b8C637,variableDebtPolDPI,0xf611aEb5013fD2c0511c9CD55c7dc5C1140741A6,2000,4500,true,true,true,false,
13,EURS,0xE111178A87A3BFf0c8d18DECBa5798827539Ae99,aPolEURS,0x38d693cE1dF5AaDF7bC62595A37D667aD57922e5,variableDebtPolEURS,0x5D557B07776D12967914379C71a1310e917C7555,6500,7000,true,true,true,false,
14,jEUR,0x4e3Decbb3645551B8A19f0eA1678079FCB33fB4c,aPolJEUR,0x6533afac2E7BCCB20dca161449A13A32D391fb00,variableDebtPolJEUR,0x44705f578135cC5d703b4c9c122528C73Eb87145,0,0,false,true,true,true,
15,agEUR,0xE0B52e49357Fd4DAf2c15e02058DCE6BC0057db4,aPolAGEUR,0x8437d7C167dFB82ED4Cb79CD44B7a32A1dd95c77,variableDebtPolAGEUR,0x3ca5FA07689F266e907439aFd1fBB59c44fe12f6,0,0,false,true,true,false,
16,miMATIC,0xa3Fa99A148fA48D14Ed51d610c367C61876997F1,aPolMIMATIC,0xeBe517846d0F36eCEd99C735cbF6131e1fEB775D,variableDebtPolMIMATIC,0x18248226C16BF76c032817854E7C83a2113B4f06,7500,8000,true,true,true,false,
17,stMATIC,0x3A58a54C066FdC0f2D55FC9C89F0415C92eBf3C4,aPolSTMATIC,0xEA1132120ddcDDA2F119e99Fa7A27a0d036F7Ac9,variableDebtPolSTMATIC,0x6b030Ff3FB9956B1B69f475B77aE0d3Cf2CC5aFa,5000,6500,true,false,true,false,
18,MaticX,0xfa68FB4628DFF1028CFEc22b4162FCcd0d45efb6,aPolMATICX,0x80cA0d8C38d2e2BcbaB66aA1648Bd1C7160500FE,variableDebtPolMATICX,0xB5b46F918C2923fC7f26DB76e8a6A6e9C4347Cf9,5000,6500,true,false,true,false,
